"","freq","word"
"851",12,"рокнроллконцертыметал16"
"852",12,"спектаклишоу"
"853",12,"искусствосовременный"
"854",12,"концерты6хоровая"
"855",12,"экскурсииночь"
"856",11,"квестыночные"
"857",11,"ночьюэлектронная"
"858",11,"фолкклассическаяконцерты"
"859",11,"русские"
"860",11,"рокнролл18русский"
"861",11,"6знаниядетскиерукоделиедетские"
"862",11,"личностидетские"
"863",11,"фестивалитворческие"
"864",11,"прочееfreeспорт"
"865",11,"развлеченияс"
"866",11,"freeгуманитарные"
"867",11,"16другоеджаз"
"868",11,"фестивали12"
"869",11,"рокальтернатива"
"870",11,"моноспектакльтворческие"
"871",11,"16другоеметалконцерты"
"872",11,"представленияцирковые"
"873",11,"искусство16выставки"
"874",11,"отдыхигры"
"875",11,"девушкойфестивали"
"876",11,"вечеринки18джаз"
"877",11,"фестивалирусский"
"878",11,"12рок"
"879",11,"встречиfree16"
"880",11,"comedi"
"881",11,"рокнроллпанкконцерты"
"882",11,"вечеринкитанцевальнаяэлектронная"
"883",11,"рокнроллконцертыfree16"
"884",11,"развлеченияакции"
"885",11,"легкая"
"886",11,"девушкойкино"
"887",11,"freeраспродажа"
"888",11,"блюзфестивали"
"889",11,"городскиедетские"
"890",11,"итдспектакль"
"891",11,"друзьямиигры"
"892",11,"лучшееромантический"
"893",11,"концертыфестивали"
"894",11,"бизнесаповышение"
"895",11,"фестиваликлассическая6концерты"
"896",11,"спектакль18комедиитеатр"
"897",11,"моноспектакльдраматические"
"898",11,"рокнроллконцерты18индиальтернатива"
"899",11,"детяммюзиклспектакльтеатр"
"900",11,"операспектакльдетские"
"901",11,"16экспериментальное"
"902",11,"детейспектакльдетские"
"903",11,"развлеченияинтересноеживые"
"904",11,"квестывыходные"
"905",11,"фестивалиfreeдетскиедетские"
"906",11,"фестивалияндекс"
"907",11,"распродажи"
"908",11,"вечеринки18рэп"
"909",11,"16попмузыкаджаз"
"910",11,"блюз6детские"
"911",11,"друзьямиквестыигры"
"912",11,"искусствов"
"913",11,"миреюжная"
"914",11,"миремузыкальные"
"915",11,"блюзконцертыинди"
"916",11,"ночьюяндекс"
"917",11,"развлеченияфокусники"
"918",11,"16с"
"919",11,"6классическаяорганная"
"920",11,"выставкияндекс"
"921",11,"развлеченияромантический"
"922",11,"искусство6manifesta"
